pitcher,taggedpitchtype,relspeed,spinrate,inducedvertbreak,horzbreak
"Johnson, Andrew",Fastball,89.68,2371.46,21.6776,11.3921
"Johnson, Andrew",Fastball,87.54,2147.18,17.3890,9.5397
"Johnson, Andrew",Fastball,85.93,2228.12,16.2110,12.8110
"Johnson, Andrew",Fastball,85.54,1957.50,12.6837,12.7482
"Johnson, Andrew",Fastball,85.27,1950.57,13.3659,12.6443
"Johnson, Andrew",Fastball,87.46,2318.86,13.3344,12.7803
"Johnson, Andrew",Fastball,85.66,2167.42,17.1660,11.1024
"Johnson, Andrew",Fastball,87.28,2208.70,16.1129,14.3293
"Johnson, Andrew",Fastball,85.93,2134.91,16.0527,13.8171
"Johnson, Andrew",Fastball,85.71,1996.59,13.0614,11.2625
"Johnson, Andrew",Fastball,87.76,2035.87,12.7938,11.4591
"Johnson, Andrew",Fastball,88.89,2012.78,16.6017,10.1671
"Johnson, Andrew",Fastball,87.51,1813.94,14.8468,13.3388
"Johnson, Andrew",Fastball,85.78,2140.16,17.4969,13.2601
"Johnson, Andrew",Fastball,89.05,1929.07,11.8620,9.4923
"Johnson, Andrew",Fastball,87.69,2075.96,15.8529,10.6265
"Johnson, Andrew",Fastball,86.16,2164.35,15.2051,12.9460
"Johnson, Andrew",Fastball,86.32,2070.84,14.9928,15.3807
"Johnson, Andrew",Fastball,89.13,1901.79,17.1327,11.4073
"Johnson, Andrew",Fastball,85.72,2210.87,18.4444,8.8575
"Johnson, Andrew",Fastball,88.25,1919.20,16.8129,10.9779
"Johnson, Andrew",Fastball,86.48,2243.30,18.5255,10.9327
"Johnson, Andrew",Fastball,85.95,1972.43,14.2702,15.2685
"Johnson, Andrew",Fastball,84.96,2225.58,16.3360,11.2025
"Johnson, Andrew",Fastball,87.11,2233.00,17.5643,9.5274
"Johnson, Andrew",Fastball,85.92,2249.31,18.3488,12.0849
"Johnson, Andrew",Fastball,86.81,1898.21,17.6415,13.2658
"Johnson, Andrew",Fastball,87.91,2160.08,14.9217,12.2081
"Johnson, Andrew",Fastball,86.85,2228.36,20.7420,15.1110
"Johnson, Andrew",Fastball,89.23,2010.51,13.6049,13.0968
"Johnson, Andrew",Fastball,85.18,2244.40,16.0430,12.3969
"Johnson, Andrew",Fastball,86.22,2096.70,19.4115,10.9853
"Johnson, Andrew",Fastball,85.36,2065.54,15.8110,13.3037
"Johnson, Andrew",Fastball,87.46,2081.89,16.7200,11.6986
"Johnson, Andrew",Fastball,87.63,2181.62,15.2669,11.3830
"Johnson, Andrew",Fastball,86.30,2196.38,16.4105,9.9180
"Johnson, Andrew",Fastball,85.49,1972.42,15.3183,10.5954
"Johnson, Andrew",Fastball,88.22,2101.51,16.6647,10.8643
"Johnson, Andrew",Fastball,86.58,1913.78,14.4835,11.0543
"Naess, Griffin",Fastball,88.98,2208.30,22.2997,12.2054
"Naess, Griffin",Fastball,88.59,2231.51,20.0072,14.8107
"Naess, Griffin",Fastball,90.72,2240.02,19.6551,14.6193
"Naess, Griffin",Fastball,90.06,2157.91,20.8731,8.8558
"Naess, Griffin",Fastball,88.08,2262.98,20.6632,15.4220
"Naess, Griffin",Fastball,89.25,2215.32,25.7760,13.1220
"Naess, Griffin",Fastball,88.64,2201.56,23.2538,13.7054
"Naess, Griffin",Fastball,90.35,2239.12,20.4285,17.8145
"Naess, Griffin",Fastball,90.43,2367.55,21.6293,15.5628
"Naess, Griffin",Fastball,90.45,2212.96,23.4290,8.9889
"Naess, Griffin",Fastball,88.38,2133.06,22.2791,12.8734
"Naess, Griffin",Fastball,91.36,2261.52,24.7770,11.3380
"Naess, Griffin",Fastball,88.81,2186.28,20.5021,12.0431
"Naess, Griffin",Fastball,90.12,2143.18,16.2245,11.3033
"Naess, Griffin",Fastball,87.92,2275.05,20.7902,16.0298
"Naess, Griffin",Fastball,90.86,2268.62,23.1002,14.3212
"Naess, Griffin",Fastball,88.19,2197.38,23.4438,13.5246
"Naess, Griffin",Fastball,88.41,2022.16,22.0626,11.9343
"Naess, Griffin",Fastball,86.23,2093.14,22.7008,14.2922
"Naess, Griffin",Fastball,90.21,2261.12,20.2387,14.0190
"Naess, Griffin",Fastball,88.05,2256.33,22.5853,11.3292
"Naess, Griffin",Fastball,87.58,2224.76,16.9097,16.8460
"Naess, Griffin",Fastball,89.15,2257.93,23.0036,10.4976
"Naess, Griffin",Fastball,88.12,2072.93,22.6666,9.7300
"Naess, Griffin",Fastball,88.56,2225.00,22.5328,14.0229
"Naess, Griffin",Fastball,89.26,2305.14,22.0689,13.9991
"Naess, Griffin",Fastball,89.69,2281.35,21.8047,16.9197
"Naess, Griffin",Fastball,88.21,2145.91,22.5197,10.6701
"Naess, Griffin",Fastball,90.62,2224.38,20.2720,15.3797
"Naess, Griffin",Fastball,87.94,2163.67,22.2551,14.8940
"Naess, Griffin",Fastball,90.12,2253.01,21.1754,9.5399
"Naess, Griffin",Fastball,87.62,2120.16,23.6708,8.7886
"Naess, Griffin",Fastball,88.20,2156.67,23.9881,14.2838
"Naess, Griffin",Fastball,89.13,2233.13,21.2714,15.3023
"Naess, Griffin",Fastball,89.46,2212.39,24.4504,13.3109
"Naess, Griffin",Fastball,88.50,2198.44,24.4351,10.3257
"Naess, Griffin",Fastball,87.09,2140.02,21.9257,16.1521
"Naess, Griffin",Fastball,88.70,2294.77,20.6832,15.8595
"Naess, Griffin",Fastball,90.78,2115.10,18.8497,14.3947
"Naess, Griffin",Fastball,88.39,2266.59,21.6019,10.2889
"Naess, Griffin",Fastball,89.34,2238.24,17.9508,14.9108
"Naess, Griffin",Fastball,90.04,2243.44,21.2197,13.1333
"Naess, Griffin",Fastball,91.13,2202.91,20.7478,17.9323
"Naess, Griffin",Fastball,87.44,2214.56,19.6369,12.1908
"Naess, Griffin",FourSeamFastBall,88.85,2310.97,22.0382,14.8709
"Naess, Griffin",Fastball,89.63,2302.12,24.3132,7.8731
"Naess, Griffin",Fastball,89.08,2237.50,21.9008,13.0392
"Naess, Griffin",Fastball,89.20,2306.60,24.4520,13.1950
"Naess, Griffin",Fastball,89.23,2406.17,26.2183,7.0011
"Naess, Griffin",FourSeamFastBall,89.93,2264.79,22.8025,11.4728
"Naess, Griffin",Fastball,89.88,2234.27,23.5266,12.7920
"Naess, Griffin",Fastball,88.69,2190.44,20.8182,14.0428
"Naess, Griffin",Fastball,89.18,2099.10,22.4128,12.2286
"Naess, Griffin",Fastball,89.61,2406.93,23.4513,15.5175
"Naess, Griffin",Fastball,89.26,2312.59,21.6376,12.2872
"Naess, Griffin",Fastball,88.11,2206.10,22.6860,13.3946
"Naess, Griffin",Fastball,88.71,2310.97,25.1268,13.0097
"Naess, Griffin",Fastball,90.08,2373.39,19.5108,13.3331
"Naess, Griffin",Fastball,89.61,2214.52,24.4659,10.2945
"Naess, Griffin",FourSeamFastBall,89.06,2307.55,22.4409,12.6552
"Naess, Griffin",Fastball,80.05,2618.31,3.5089,-3.1682
"Naess, Griffin",Fastball,88.71,2260.54,24.0624,13.1764
"Naess, Griffin",Fastball,89.33,2239.33,19.1908,18.4009
"Naess, Griffin",Fastball,89.40,2219.99,23.0803,11.2704
"Naess, Griffin",FourSeamFastBall,88.93,2233.36,21.2688,10.7680
"Naess, Griffin",Fastball,89.36,2179.01,19.5696,15.5888
"Naess, Griffin",FourSeamFastBall,88.78,2170.33,19.5432,14.8003
"Naess, Griffin",Fastball,88.38,2163.27,15.5671,19.7127
"Naess, Griffin",Fastball,88.81,2134.32,20.5279,13.0212
"Naess, Griffin",FourSeamFastBall,87.47,2210.30,20.3505,16.6542
"Naess, Griffin",Fastball,88.32,2162.68,19.1466,16.4073
"Naess, Griffin",Fastball,88.88,2366.36,23.0076,10.5776
"Naess, Griffin",Fastball,89.10,2256.36,19.2168,19.9858
"Naess, Griffin",Fastball,89.50,2343.89,25.1769,10.1794
"Naess, Griffin",FourSeamFastBall,88.57,2164.42,18.8930,15.0618
"Naess, Griffin",Fastball,88.52,2294.12,21.3104,16.5982
"Naess, Griffin",FourSeamFastBall,88.71,2252.90,19.9543,16.1580
"Naess, Griffin",Fastball,88.69,2196.93,22.5537,13.4162
"Naess, Griffin",Fastball,90.18,2403.38,24.4921,13.8903
"Naess, Griffin",Fastball,89.88,2298.01,25.5064,14.3133
"Naess, Griffin",FourSeamFastBall,89.31,2237.08,22.0789,13.1762
"Naess, Griffin",Fastball,88.15,2314.80,23.2155,14.1268
"Naess, Griffin",FourSeamFastBall,89.38,2324.63,22.2063,15.0737
"Naess, Griffin",Fastball,90.10,2306.13,24.4423,12.9456
"Naess, Griffin",Fastball,87.39,2256.31,22.7647,16.0223
"Naess, Griffin",Fastball,87.47,2218.53,24.3101,6.3945
"Naess, Griffin",Fastball,81.05,2671.08,2.2250,-1.5987
"Naess, Griffin",Fastball,89.13,2311.66,19.1362,16.3304
"Naess, Griffin",Fastball,90.19,2236.85,20.4919,15.2759
"Naess, Griffin",FourSeamFastBall,89.17,2264.71,23.0516,14.4076
"Naess, Griffin",Fastball,89.63,2313.49,22.1573,13.7732
"Naess, Griffin",Fastball,88.86,2224.12,24.5500,14.1368
"Naess, Griffin",Fastball,88.64,2262.96,22.5642,14.4904
"Naess, Griffin",Fastball,89.48,2276.86,20.8356,7.4014
"Naess, Griffin",Fastball,90.85,2299.13,18.0928,17.0141
"Naess, Griffin",Fastball,88.74,2198.56,17.7603,18.0098
"Naess, Griffin",Fastball,88.79,2244.77,21.8386,14.3010
"Naess, Griffin",FourSeamFastBall,89.11,2246.27,22.9032,10.2497
"Naess, Griffin",Fastball,88.08,2158.91,21.0608,14.0552
"Naess, Griffin",Fastball,89.90,2322.89,15.4432,16.8050
"Naess, Griffin",FourSeamFastBall,90.97,2324.67,23.6146,4.7670
"Naess, Griffin",Fastball,89.45,2282.00,20.5211,6.6586
"Naess, Griffin",Fastball,91.57,2307.60,19.4427,8.1896
"Naess, Griffin",FourSeamFastBall,90.13,2299.90,14.2797,4.4291
"Naess, Griffin",Fastball,89.31,2275.97,16.9471,9.3780
"Naess, Griffin",Fastball,90.61,2326.54,18.5319,5.3062
"Naess, Griffin",Fastball,89.75,2307.30,17.1427,8.0013
"Naess, Griffin",Fastball,90.34,2257.42,19.5577,9.7305
"Naess, Griffin",Fastball,90.82,2327.65,22.6425,8.4334
"Naess, Griffin",Fastball,89.16,2176.88,23.3573,2.0354
"Naess, Griffin",FourSeamFastBall,90.20,2313.96,15.9323,3.9815
"Naess, Griffin",Fastball,90.39,2384.86,16.0667,9.7635
"Naess, Griffin",Fastball,87.92,2247.66,21.9531,7.9594
"Naess, Griffin",FourSeamFastBall,90.18,2157.51,18.8670,4.7181
"Naess, Griffin",FourSeamFastBall,89.86,2217.44,21.4107,7.5839
"Naess, Griffin",Fastball,90.62,2392.68,14.8999,10.3112
"Naess, Griffin",Fastball,89.73,2312.57,19.6948,12.6270
"Naess, Griffin",Fastball,88.78,2164.69,20.3073,8.7371
"Naess, Griffin",Fastball,89.30,2198.77,17.4943,6.0849
"Naess, Griffin",Fastball,89.67,2318.78,16.9260,11.2457
"Naess, Griffin",Fastball,88.06,2236.87,17.7455,10.6578
"Naess, Griffin",Fastball,88.63,2287.69,14.0400,3.4147
"Naess, Griffin",Fastball,89.34,2354.70,23.7894,12.8829
"Naess, Griffin",Fastball,87.27,2246.39,19.5420,11.6417
"Naess, Griffin",FourSeamFastBall,90.63,2316.50,20.6411,6.9786
"Naess, Griffin",Fastball,88.86,2338.02,17.3806,13.8489
"Naess, Griffin",Fastball,89.21,2221.94,19.4658,8.8347
"Naess, Griffin",Fastball,88.57,2349.44,21.5072,8.3302
"Naess, Griffin",Fastball,89.08,2294.53,19.8872,6.9297
"Naess, Griffin",Fastball,89.52,2248.89,23.0588,5.6597
"Naess, Griffin",Fastball,90.37,2246.26,20.7496,10.4758
"Naess, Griffin",Fastball,88.44,2286.13,18.5593,10.1647
"Naess, Griffin",Fastball,89.87,2389.13,18.8701,13.8702
"Naess, Griffin",Fastball,89.60,2316.52,23.9563,8.2197
"Naess, Griffin",Fastball,89.96,2322.37,18.8122,12.2688
"Naess, Griffin",Fastball,89.91,2261.59,21.1727,3.5122
"Naess, Griffin",Fastball,89.81,2366.79,18.3441,7.1332
